tripID,deviceID,timeStamp,accData,gps_speed,battery,cTemp,dtc,eLoad,iat,imap,kpl,maf,rpm,speed,tAdv,tPos
1,5,12/30/2017 17:31,0de8fe80067003113f02113e000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0,67,0,24.7059,42,98,0,0.03,0,0,0,89.0196
1,5,12/30/2017 17:31,0de8fea0066804113c03133e03143803123d00113f00114204124003123d02113c03114004143d02123b03113c02103f02114003123f04123e03123b03123c04133e03123f03133f02123d03113d03123c,0,0,67,0,24.7059,42,98,0,0.03,0,0,0,88.6275
1,5,12/30/2017 17:31,0de8fe6806c003113d03113e02133e03133d03123e03113e03113e03123e02113c03123e03134003123f03123d02123d02123d03133f03113d03123f04133d02123d03123d03113d03113e03133e03113e,0,0,66,0,24.7059,42,98,0,0.03,0,0,0,89.0196
1,5,12/30/2017 17:31,0df8fe98065003113e03123e04123e03123f03123e02123d04123d02123e03113d03113f02113e03113d03123e03133f02123e03113e03123e03123e03123f04123f03113f03133f03133f02113f02113d,0,0,66,0,24.7059,42,98,0,0.03,0,0,0,88.6275
1,5,12/30/2017 17:31,0e10fe80067003113f03113d03123e03123e03123e02113d02113e04123e02113d04123d02123e04123e03123d03123e04113e02123d03123d02113d03133e03133e04133f03123e02123e03113c03133e,0,0,66,0,24.7059,42,98,0,0.03,0,0,0,89.0196
1,5,12/30/2017 17:31,0df8fe8006a803123f04133f04133f03113d02113d03113e03113e02113d03123f03123e04123e03123e02123d03123f02113f03133e03113d02123e03123f03113f02123e03113e03123e03103e03123d,0,0,66,0,24.7059,42,98,0,0,0,0,0,0
1,5,12/30/2017 17:31,0dd0fe80060803123e02123e03123d02123e02124003113e03123c02113d03123e01113f03123e03123c02113e03113f03113e02123e03123d03123d03113d02113d03124003123e03123e03123d03123d,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,12/30/2017 17:31,0d88fe68063803133e03133f01113e03123d04133f03123e02123e03113d03123e03123f02113d02123c03123e02123e03123b03123e04113e02123e03113e03103e02113e04123f03113d03113d03123f,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,12/30/2017 17:31,0dc8fe48063002123d03113e03113c04113e03113e02123f03123f03123e03113e020f3f02123d02113d03123d02113d03123e02133f04133d03123e03123e03123f03113f03123e02113d03123e02133e,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,12/30/2017 17:31,0de8fe80064003123d03113e03113f03103d03123d02113e02103d02113e03123e02113e02123d03123f03123e02113f03133d03123f02113e02113f02123d02123e03133f02123d03123e03123e03123d,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,12/30/2017 17:31,0dc8fea0065003113d03123e03123f03113e03124003123d03113e03123e02113f03123e03123e03123e03123e03113f02123f02123e03123e03123e03123b02123e03113e02123d03133f02113e03133f,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,12/30/2017 17:31,0da8fe50065003113d03123e02113e03123f02113f04133f03123f03123e04133e03113e03123e03114003113e03113f03123f01113e02113e03133f02123f02113e02123f02133e03123d02123f03123e,0,0,0,0,0,0,0,0,0,0,0,0,0
